modelo,fase,target,columna_target,feature,rol,n,sd_target,rango_rel_sd,forma,forma_pd,x_extremo,teoria,tipo_teorico,concuerda,comentario
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,ley_feo_escoria_pct_prev,STATE,1074,3794.31,0.0225,plana,plana,18.6843,ambiguo (baja actividad de SnO pero matriz mas fluida): sin restriccion,sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.47,0.72)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1074,3794.31,0.0355,plana,plana,26.7939,"+ (SnO2+2C->Sn), saturante al agotarse el Sn removible",mono+_sat,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria +; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,interaccion_C_x_Sn_prev,DERIVED_CONTROL,1074,3794.31,0.221,monótona +,monótona +,1361.7371,familia carbon: + saturante (interaccion carbon x inventario Sn),mono+_sat,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,duracion_plan_min,CONTROL,1074,3794.31,0.0004,plana,plana,22.5,+ con rendimientos decrecientes (cinetica 1er orden): concava,concava,parcial,"forma no coincide con concava clara; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.36,0.00)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1074,3794.31,0.0576,no monótona compleja,plana,28.8218,+ (calor + gas reductor) con meseta termica,mono+_sat,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.00,0.73)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1074,3794.31,0.0402,plana,plana,-5.0019,- en Reduccion (atmosfera oxidante frena la reduccion),mono-,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria -; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.99,0.00)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1074,3794.31,0.0304,plana,plana,1077.9412,"+ (cinetica, viscosidad) dentro de la ventana",mono+,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria +; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.47,0.72)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,basicidad_B2_prev,STATE,1074,3794.31,0.0279,plana,plana,0.5478,Reduccion: ~0 (sin efecto claro sobre Sn),sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.24,0.07)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,posicion_vertical_lanza_mm_prev,STATE,1074,3794.31,0.098,monótona -,monótona -,6474.3388,no monotona: valle 3300-4200mm en d%Sn (hallazgos 12) -> pico de kg extraidos en esa zona,optimo_interior,no,"el modelo aprendio una forma monotona simple, no un optimo interior; ALE vs PD: coincide; fracpos_shap[0,-1]=(1.00,0.12)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,tasa_feed_CaO_kg_min,DERIVED,1074,3794.31,0.0326,plana,plana,0.0,Reduccion: sin carga fresca de fundente activo: n/a,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.99,0.24)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,tasa_o2_nm3_min,CONTROL,1074,3794.31,0.042,plana,plana,20.6183,primitiva de la lanza; la teoria se formula sobre exceso_o2_combustion_pct (derivada),no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.91)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,tasa_aire_nm3_min,CONTROL,1074,3794.31,0.0565,óptimo interior (máximo),plana,119.9076,primitiva de la lanza; la teoria se formula sobre exceso_o2_combustion_pct (derivada),no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.02,0.57)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,oxygen_enrichment_pct,DERIVED_CONTROL,1074,3794.31,0.0265,plana,plana,32.765,analogo a exceso_o2_combustion_pct (no explicito en la tabla),mono-,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria -; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.49)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,avance_reduccion_sn_prev,STATE,1074,3794.31,0.7665,monótona -,no monótona compleja,0.9949,no en la tabla teorica; extrapolado de hallazgos 14.5 (SHAP -0.96): - (queda menos Sn removible),mono-,sí,"monotona - como se esperaba; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(1.00,0.00)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,feo_inventario_escoria_est_kg_prev,STATE,1070,891.39,0.4284,no monótona compleja,monótona +,22289.4773,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'monótona +'; fracpos_shap[0,-1]=(0.00,0.96)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1070,891.39,0.5322,monótona +,óptimo interior (mínimo),69686.1191,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.00,0.89)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,ley_feo_escoria_pct_prev,STATE,1070,891.39,0.2602,óptimo interior (máximo),óptimo interior (mínimo),17.2425,"+ por analogia con inventario de Sn (mas FeO disponible, mas se puede extraer); no esta en la tabla explicita",mono+,parcial,"sube y luego cae (posible sobre-ajuste o efecto real de saturacion/reversion); ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.62,0.17)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,ley_cao_escoria_pct_prev,STATE,1070,891.39,1.5396,monótona -,monótona -,27.4343,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(1.00,0.00)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1070,891.39,0.5081,no monótona compleja,óptimo interior (máximo),17.8848,- (compite con la reduccion de FeO),mono-,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'óptimo interior (máximo)'; fracpos_shap[0,-1]=(0.63,0.18)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1070,891.39,0.2134,óptimo interior (mínimo),óptimo interior (máximo),2674.452,"- (el Sn compite por el poder reductor, deberia retrasar/competir con la reduccion de FeO)",mono-,parcial,"baja y luego sube (posible efecto real o ruido en el extremo); ALE vs PD: PD dice 'óptimo interior (máximo)'; fracpos_shap[0,-1]=(0.15,0.73)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1070,891.39,0.4261,monótona +,monótona +,65.9279,"+ (SnO2+2C->Sn), saturante al agotarse el Sn removible",mono+_sat,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,interaccion_C_x_FeO_prev,DERIVED_CONTROL,1070,891.39,0.3044,monótona +,monótona +,1337.0941,familia carbon: + debil sobre FeO (crece con avance de reduccion),mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1070,891.39,0.4694,no monótona compleja,óptimo interior (mínimo),24.0038,+ (GN es MENOS selectivo que el carbon: reduce Sn y FeO a la vez),mono+,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.75,0.29)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1070,891.39,0.7848,monótona -,óptimo interior (mínimo),64.2259,- en Reduccion (atmosfera oxidante frena la reduccion),mono-,sí,"monotona - como se esperaba; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.89,0.07)"
Reducción_feo_kg_default,Reducción,feo_kg,feo_extraido_est_kg,duracion_plan_min,CONTROL,1070,891.39,0.0294,plana,plana,22.5,+ con rendimientos decrecientes (cinetica 1er orden): concava,concava,parcial,"forma no coincide con concava clara; ALE vs PD: coincide; fracpos_shap[0,-1]=(1.00,0.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,feo_inventario_escoria_est_kg_prev,STATE,1070,891.39,0.5339,monótona +,monótona +,22289.4773,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.98)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1070,891.39,0.6772,monótona +,no monótona compleja,118153.1859,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,ley_feo_escoria_pct_prev,STATE,1070,891.39,0.1716,óptimo interior (mínimo),óptimo interior (mínimo),19.4024,"+ por analogia con inventario de Sn (mas FeO disponible, mas se puede extraer); no esta en la tabla explicita",mono+,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.52,0.40)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,ley_cao_escoria_pct_prev,STATE,1070,891.39,0.6957,no monótona compleja,monótona -,12.8809,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'monótona -'; fracpos_shap[0,-1]=(1.00,0.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1070,891.39,0.375,no monótona compleja,no monótona compleja,17.8848,- (compite con la reduccion de FeO),mono-,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.69,0.01)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1070,891.39,0.1165,óptimo interior (máximo),óptimo interior (máximo),6871.6202,"- (el Sn compite por el poder reductor, deberia retrasar/competir con la reduccion de FeO)",mono-,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.21,0.79)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1070,891.39,0.299,monótona +,monótona +,65.9279,"+ (SnO2+2C->Sn), saturante al agotarse el Sn removible",mono+_sat,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,interaccion_C_x_FeO_prev,DERIVED_CONTROL,1070,891.39,0.1621,monótona +,plana,1182.7621,familia carbon: + debil sobre FeO (crece con avance de reduccion),mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1070,891.39,0.1463,óptimo interior (mínimo),óptimo interior (mínimo),24.0038,+ (GN es MENOS selectivo que el carbon: reduce Sn y FeO a la vez),mono+,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.58,0.67)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1070,891.39,0.521,monótona -,óptimo interior (mínimo),64.2259,- en Reduccion (atmosfera oxidante frena la reduccion),mono-,sí,"monotona - como se esperaba; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.90,0.08)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,duracion_plan_min,CONTROL,1070,891.39,0.0014,plana,plana,22.5,+ con rendimientos decrecientes (cinetica 1er orden): concava,concava,parcial,"forma no coincide con concava clara; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.06,1.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,basicidad_B2_prev,STATE,1070,891.39,0.6011,no monótona compleja,óptimo interior (máximo),4.4762,Reduccion: ~0 (sin efecto claro),sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (máximo)'; fracpos_shap[0,-1]=(0.36,0.03)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1070,891.39,0.1752,óptimo interior (máximo),óptimo interior (máximo),1087.7688,"+ (cinetica, viscosidad) dentro de la ventana",mono+,parcial,"sube y luego cae (posible sobre-ajuste o efecto real de saturacion/reversion); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.07,0.28)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,posicion_vertical_lanza_mm_prev,STATE,1070,891.39,0.3357,no monótona compleja,óptimo interior (máximo),6474.4479,no monotona: valle 3300-4200mm en d%Sn (hallazgos 12) -> pico de kg extraidos en esa zona,optimo_interior,parcial,"no monotona pero sin un unico optimo interior limpio (posible ruido); ALE vs PD: PD dice 'óptimo interior (máximo)'; fracpos_shap[0,-1]=(1.00,0.56)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,tasa_feed_CaO_kg_min,DERIVED,1070,891.39,0.1399,monótona -,no monótona compleja,0.091,Reduccion: sin carga fresca de fundente activo: n/a,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.98,0.13)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,tasa_o2_nm3_min,CONTROL,1070,891.39,0.2701,óptimo interior (máximo),óptimo interior (máximo),16.7173,primitiva de la lanza; la teoria se formula sobre exceso_o2_combustion_pct (derivada),no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.36,0.00)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,tasa_aire_nm3_min,CONTROL,1070,891.39,0.1241,óptimo interior (máximo),óptimo interior (mínimo),118.7073,primitiva de la lanza; la teoria se formula sobre exceso_o2_combustion_pct (derivada),no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.31,0.13)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,oxygen_enrichment_pct,DERIVED_CONTROL,1070,891.39,0.1847,óptimo interior (mínimo),óptimo interior (mínimo),33.8958,analogo a exceso_o2_combustion_pct (no explicito en la tabla),mono-,parcial,"baja y luego sube (posible efecto real o ruido en el extremo); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.98,0.71)"
Reducción_feo_kg_pool_amplio,Reducción,feo_kg,feo_extraido_est_kg,avance_reduccion_sn_prev,STATE,1070,891.39,0.1746,no monótona compleja,no monótona compleja,0.5953,no en la tabla teorica; extrapolado de hallazgos 14.5 (SHAP -0.96): - (queda menos Sn removible),mono-,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.75,0.39)"
